"","clust","PONDMEN","index.repr","Deper_mur","Deper_plancher","Deper_plafond","Deper_baie","Efficiency.inverse","Proxy.conso","Cchauf.EF.square","DPE_etiquette","clust","SHAB","R_mur","S_mur","R_plancher","S_plancher","R_plafond","S_plafond","R_baie","S_baie","Efficiency","Proxy.conso","Cchauf.EF.square","Weight"
"1251","1",849250.306466475,"1251",0.473666666666665,0.321421487603305,0.403199999999999,0.466240000000001,0.598041212293767,54.8257586293006,31.2843201217575,"C","1",75,1.02040816326531,36.25,2.86228530289006,69,1.78571428571429,54,0.333333333333333,11.656,1.672125565,54.8257586293006,31.2843201217575,0.0564873164199763
"1200","2",2052328.740715,"1200",0.37886253942656,0.310537206905943,0.19513866075916,0.340459404139186,1.04314825991975,70.3791053649771,103.200427995906,"E","2",131.91,2.35714285714286,117.8,1.92857142857143,79,5.4,139,0.564083723001559,25.333,0.958636503,70.3791053649771,103.200427995906,0.1365092742291
"733","3",3262678.29739872,"733",0.569077969348659,0.223406666666666,0.147442777777778,0.3666,1.29237540474629,92.9971420527504,208.117069940851,"E","3",180,2.13846404767812,219.0515,2.91995165766465,117.4206,4.34782608695652,115.39,0.384615384615385,25.38,0.773768981,92.9971420527504,208.117069940851,0.217014865886335
"1324","4",207652.94667996,"1324",0.326526315789473,2,0.2,0.325684210526316,0.438437874981254,68.8734810199222,68.7036221692816,"D","4",114,2.77777777777778,103.4,0.5,114,5,114,0.357142857142857,13.26,2.280824849,68.8734810199222,68.7036221692816,0.0138118969346694
"261","5",1840010.28892558,"261",0.998246268656716,0.348258706467661,0.0608070757324489,0.721208955223882,1.2031132943468,141.041480330065,152.509694441545,"E","5",134,0.645161290322581,86.3,1.92857142857143,90,5.4,44,0.355720080296351,34.3775,0.831176918,141.041480330065,152.509694441545,0.122387054340915
"692","6",1657628.27387216,"692",0.731277213352686,0.370537010159652,0.668144059356389,0.391938461538461,1.29237540474629,153.881362549697,299.730425808562,"F","6",68.9,1.50441599682445,75.8,2.7027027027027,69,1.9209136213974,88.4295,0.351725782608567,9.4982,0.773768981,153.881362549697,299.730425808562,0.110256036530041
"337","7",1124229.11201317,"337",0.409411764705882,1.86666666666667,0.401333333333333,0.524666666666666,1.13045334750337,199.364120315649,183.956178846964,"G","7",75,2.3448275862069,72,0.5,70,2.32558139534884,70,0.353240152477764,13.9,0.884600857,199.364120315649,183.956178846964,0.0747773478505586
"96","8",932223.491980506,"96",0.96285,2,0.636,0.12306,1.2031132943468,246.62368590943,211.56882348832,"E","8",100,0.952380952380952,91.7,0.5,100,1.88679245283019,120,0.714285714285714,8.79,0.831176918,246.62368590943,211.56882348832,0.0620062223877653
"268","9",987627.358242304,"268",2.268,0.244125,0.678750000000001,0.47481,1.2031132943468,242.898067412406,275.693081069919,"F","9",100,0.5,113.4,2.85714285714286,69.75,1.02209944751381,69.375,0.326025146900866,15.48,0.831176918,242.898067412406,275.693081069919,0.0656913735152836
"1108","10",441744.451186847,"1108",1.56157712674394,1.72817679558011,0.203314917127071,1.51027624309392,1.04314825991975,287.454350949382,456.502235391998,"G","10",45.25,2.49075290347073,176,0.610997442455243,47.78,4.25000000000002,39.1,0.24246414983904,16.57,0.958636503,287.454350949382,456.502235391998,0.029382336869307
"92","11",731252.56815233,"92",3.348,0.518784,0.16,1.28860965,1.2031132943468,352.212163653226,366.73950168713,"F","11",200,0.5,334.8,1.25,129.696,3,96,0.263205773757786,67.8339,0.831176918,352.212163653226,366.73950168713,0.0486387757362223
"966","12",947728.074055321,"966",1.96605345911949,0.365017735849057,1.69213836477987,0.449216981132074,1.29237540474629,318.342257461901,441.549802252535,"G","12",106,0.546192848745612,113.8275,2.74088775215885,106.0501,0.59124698011522,106.05,0.177037612617343,8.43,0.773768981,318.342257461901,441.549802252535,0.0630374992998263
