Housing type,Energy,Heating system,DPE,Wall,Floor,Roof,Windows,Efficiency,clusters,Weight
Multi-family,Electricity,Electricity-Heat pump,A,0.2,0.3,0.2,1.3,2.5,0,1.0
Multi-family,Electricity,Electricity-Heat pump,B,0.4,0.9,0.5,2.6,2.5,0,1.0
Multi-family,Electricity,Electricity-Performance boiler,C,0.5,0.5,0.3,1.3,0.95,0,1.0
Multi-family,Electricity,Electricity-Performance boiler,D,0.4,0.9,0.3,2.6,0.95,0,1.0
Multi-family,Electricity,Electricity-Performance boiler,E,0.5,0.9,2.5,3.0,0.95,0,1.0
Multi-family,Electricity,Electricity-Performance boiler,F,2.5,0.9,0.5,3.0,0.95,0,1.0
Multi-family,Electricity,Electricity-Performance boiler,G,2.5,2.0,2.5,3.0,0.95,0,1.0
Multi-family,Natural gas,Natural gas-Performance boiler,B,0.2,0.5,0.2,2.6,0.76,0,1.0
Multi-family,Natural gas,Natural gas-Performance boiler,C,0.5,0.9,0.5,2.6,0.76,0,1.0
Multi-family,Natural gas,Natural gas-Performance boiler,D,1.0,0.9,0.5,3.0,0.76,0,1.0
Multi-family,Natural gas,Natural gas-Standard boiler,E,2.5,2.0,2.5,3.0,0.6,0,1.0
Multi-family,Natural gas,Natural gas-Standard boiler,F,2.5,2.0,2.5,4.3,0.6,0,1.0
Multi-family,Oil fuel,Oil fuel-Performance boiler,B,0.2,0.5,0.3,2.6,0.76,0,1.0
Multi-family,Oil fuel,Oil fuel-Performance boiler,C,0.5,0.9,0.5,2.6,0.76,0,1.0
Multi-family,Oil fuel,Oil fuel-Performance boiler,D,2.5,0.9,0.5,3.0,0.76,0,1.0
Multi-family,Oil fuel,Oil fuel-Performance boiler,E,2.5,2.0,2.5,3.0,0.76,0,1.0
Multi-family,Oil fuel,Oil fuel-Standard boiler,F,2.5,2.0,2.5,4.3,0.6,0,1.0
Multi-family,Wood fuel,Wood fuel-Performance boiler,B,0.2,0.5,0.2,2.6,0.76,0,1.0
Multi-family,Wood fuel,Wood fuel-Performance boiler,C,0.5,0.9,0.5,2.6,0.76,0,1.0
Multi-family,Wood fuel,Wood fuel-Standard boiler,D,1.0,0.9,0.5,3.0,0.6,0,1.0
Multi-family,Wood fuel,Wood fuel-Standard boiler,E,2.5,0.9,2.5,3.0,0.6,0,1.0
Multi-family,Wood fuel,Wood fuel-Standard boiler,F,2.5,2.0,2.5,4.3,0.6,0,1.0
Single-family,Electricity,Electricity-Heat pump,A,0.2,0.3,0.2,1.3,2.5,0,1.0
Single-family,Electricity,Electricity-Heat pump,B,0.4,0.3,0.2,2.6,2.5,0,1.0
Single-family,Electricity,Electricity-Heat pump,C,0.5,0.5,0.3,2.6,2.5,0,1.0
Single-family,Electricity,Electricity-Performance boiler,D,0.4,0.3,0.2,2.6,0.95,0,1.0
Single-family,Electricity,Electricity-Performance boiler,E,0.5,0.5,0.3,3.0,0.95,0,1.0
Single-family,Electricity,Electricity-Performance boiler,F,1.0,0.9,0.5,3.0,0.95,0,1.0
Single-family,Electricity,Electricity-Performance boiler,G,2.5,0.9,0.5,3.0,0.95,0,1.0
Single-family,Natural gas,Natural gas-Performance boiler,B,0.2,0.3,0.2,1.3,0.76,0,1.0
Single-family,Natural gas,Natural gas-Performance boiler,C,0.4,0.5,0.2,2.6,0.76,0,1.0
Single-family,Natural gas,Natural gas-Performance boiler,D,1.0,0.9,0.3,3.0,0.76,0,1.0
Single-family,Natural gas,Natural gas-Performance boiler,E,2.5,0.9,0.5,2.6,0.76,0,1.0
Single-family,Natural gas,Natural gas-Performance boiler,F,2.5,0.9,0.5,3.0,0.76,0,1.0
Single-family,Natural gas,Natural gas-Standard boiler,G,2.5,2.0,2.5,3.0,0.6,0,1.0
Single-family,Oil fuel,Oil fuel-Performance boiler,B,0.2,0.3,0.2,1.3,0.76,0,1.0
Single-family,Oil fuel,Oil fuel-Performance boiler,C,0.4,0.5,0.3,2.6,0.76,0,1.0
Single-family,Oil fuel,Oil fuel-Performance boiler,D,1.0,0.9,0.3,3.0,0.76,0,1.0
Single-family,Oil fuel,Oil fuel-Performance boiler,E,2.5,0.9,0.5,3.0,0.76,0,1.0
Single-family,Oil fuel,Oil fuel-Performance boiler,F,2.5,0.9,0.5,3.0,0.76,0,1.0
Single-family,Oil fuel,Oil fuel-Standard boiler,G,2.5,2.0,2.5,3.0,0.6,0,1.0
Single-family,Wood fuel,Wood fuel-Performance boiler,B,0.2,0.3,0.2,1.3,0.76,0,1.0
Single-family,Wood fuel,Wood fuel-Performance boiler,C,0.4,0.5,0.2,2.6,0.76,0,1.0
Single-family,Wood fuel,Wood fuel-Standard boiler,D,0.5,0.9,0.3,3.0,0.6,0,1.0
Single-family,Wood fuel,Wood fuel-Standard boiler,E,1.0,0.9,0.5,3.0,0.6,0,1.0
Single-family,Wood fuel,Wood fuel-Standard boiler,F,2.5,0.9,0.5,3.0,0.6,0,1.0
Single-family,Wood fuel,Wood fuel-Standard boiler,G,2.5,0.9,2.5,3.0,0.6,0,1.0
