Class,Housing type,Heating system,Wall,Floor,Roof,Windows,Ventilation,Stock buildings,Efficiency,calculated_epc,energy_primary
MI-1,Single-family,Wood fuel-Standard boiler,2.5,2.0,2.5,2.4,0.4,688400,0.75,F,423.7268935737702
MI-2,Single-family,Wood fuel-Standard boiler,2.5,2.0,2.5,2.4,0.4,648300,0.75,F,408.60846916198807
MI-3,Single-family,Wood fuel-Standard boiler,2.5,2.0,2.5,2.4,0.4,622300,0.75,G,461.9219284516812
MI-4,Single-family,Wood fuel-Standard boiler,2.5,2.0,2.5,2.4,0.4,3186600,0.75,F,368.0109317338093
MI-5,Single-family,Natural gas-Standard boiler,2.5,2.0,2.5,2.4,0.4,612000,0.6,G,524.6924422940667
MI-6,Single-family,Natural gas-Standard boiler,2.5,2.0,2.5,2.4,0.4,86300,0.6,F,394.4817567375928
MI-7,Single-family,Natural gas-Standard boiler,2.5,2.0,2.5,2.4,0.4,741300,0.6,F,368.7171009114452
MI-8,Single-family,Natural gas-Standard boiler,2.5,2.0,2.5,2.4,0.4,1364000,0.6,G,497.5316618480076
MI-9,Single-family,Natural gas-Standard boiler,2.5,2.0,2.5,2.4,0.4,923400,0.6,F,416.05554065867597
MI-10,Single-family,Natural gas-Standard boiler,1.0,2.0,2.5,2.4,0.4,976100,0.6,G,531.22005076681
MI-11,Single-family,Natural gas-Standard boiler,2.5,2.0,2.5,2.4,0.4,436600,0.6,E,318.79618144147156
MI-12,Single-family,Electricity-Performance boiler,0.77,1.0,0.77,2.4,0.4,1470000,0.95,E,327.26296891037805
MI-13,Single-family,Natural gas-Standard boiler,1.0,1.0,0.77,2.4,0.4,603600,0.6,D,169.10939297100956
MI-14,Single-family,Electricity-Performance boiler,0.34,1.0,0.34,2.4,0.3,1902400,0.95,E,241.831563704615
MI-15,Single-family,Electricity-Performance boiler,0.43,0.38,0.25,2.4,0.3,1836000,0.95,D,214.08035287710064
MI-16,Single-family,Natural gas-Standard boiler,0.34,0.4,0.24,2.4,0.2,1053300,0.6,C,108.9516031947268
MI-17,Single-family,Natural gas-Performance boiler,0.25,0.22,0.16,2.4,0.2,2119200,0.76,B,79.5966464336011
LC1,Multi-family,Electricity-Performance boiler,2.5,2.0,2.5,4.3,0.4,280900,0.95,E,319.53352670348767
LC2,Multi-family,Electricity-Performance boiler,2.5,2.0,2.5,4.3,0.4,2003900,0.95,E,287.1755335936328
LC3,Multi-family,Natural gas-Standard boiler,2.5,2.0,2.5,4.3,0.4,923400,0.6,D,217.70346080361617
LC4,Multi-family,Electricity-Performance boiler,2.5,2.0,2.5,4.3,0.4,632800,0.95,G,477.08753294064877
LC5,Multi-family,Electricity-Performance boiler,2.5,2.0,2.5,4.3,0.4,141900,0.95,F,393.6667697439412
LC6,Multi-family,Natural gas-Standard boiler,2.5,2.0,2.5,4.3,0.4,364900,0.6,D,168.22098527858302
LC7,Multi-family,Natural gas-Standard boiler,2.5,2.0,2.5,4.3,0.4,215000,0.6,D,228.88090135800311
LC8,Multi-family,Natural gas-Standard boiler,2.5,2.0,2.5,4.3,0.4,352200,0.6,D,185.03656800811137
LC9,Multi-family,Natural gas-Standard boiler,2.5,2.0,2.5,4.3,0.4,676500,0.6,E,244.3571023161499
LC10,Multi-family,Natural gas-Standard boiler,2.5,2.0,2.5,4.3,0.4,1578800,0.6,F,342.1591214054121
LC11,Multi-family,Natural gas-Standard boiler,2.5,2.0,2.5,4.3,0.4,670200,0.6,E,291.88189042734746
LC12,Multi-family,Electricity-Performance boiler,2.5,2.0,2.5,4.3,0.4,214300,0.95,E,258.17961682172034
LC13,Multi-family,Natural gas-Standard boiler,2.5,2.0,2.5,4.3,0.4,883700,0.6,E,276.6581991702901
LC15,Multi-family,Electricity-Performance boiler,1.0,1.0,1.0,3.1,0.4,184200,0.95,E,243.53388859133344
LC16,Multi-family,Natural gas-Standard boiler,1.0,1.0,1.0,3.1,0.4,676800,0.6,C,131.5877178589002
LC18,Multi-family,Electricity-Performance boiler,1.0,0.67,0.77,2.7,0.3,213100,0.95,E,299.73774517177816
LC19,Multi-family,Electricity-Performance boiler,0.67,0.67,0.77,2.7,0.3,484500,0.95,D,172.01871174512797
LC20,Multi-family,Natural gas-Standard boiler,0.67,0.67,0.77,2.7,0.3,159500,0.6,C,110.79179931563314
LC21,Multi-family,Electricity-Performance boiler,0.4,0.4,0.5,2.6,0.3,457600,0.95,F,361.08733399224326
LC22,Multi-family,Electricity-Performance boiler,0.4,0.4,0.5,2.6,0.3,1379600,0.95,D,197.47137619654805
LC23,Multi-family,Electricity-Performance boiler,0.4,0.34,0.3,1.6,0.2,768000,0.95,C,91.97252297827511
LC24,Multi-family,Electricity-Performance boiler,0.34,0.25,0.2,1.6,0.2,2641000,0.95,B,88.60781247610686
